Week,Passage,Question,Option A,Option B,Option C,Option D,Correct Answer,Scripture Reference
23,Luke 3–4,How did Jesus answer the temptation to turn stone into bread?,By quoting that man shall not live on bread alone,By creating bread for the crowd,By commanding Satan to become silent,By leaving the wilderness,A,Luke 4:1–4
23,Luke 3–4,What Scripture did Jesus read in the synagogue at Nazareth?,A passage from Genesis about creation,A psalm of David about kingship,A prophecy from Daniel about kingdoms,Isaiah's prophecy about the Spirit-anointed One bringing good news,D,Luke 4:16–21
23,Luke 3–4,How did the people of Nazareth react after Jesus mentioned God's mercy to Gentiles?,They asked Him to remain as their teacher,They tried to throw Him down a cliff,They confessed their sins,They brought their sick to Him,B,Luke 4:24–29
23,Luke 3–4,What amazed the people about Jesus' teaching in Capernaum?,His knowledge of Greek,His use of parables only,His message had authority,His refusal to enter the synagogue,C,Luke 4:31–32
23,Luke 3–4,What did the demon call Jesus in the synagogue?,The Holy One of God,The son of Joseph,The king of Judea,The new Moses,A,Luke 4:33–35
23,Luke 3–4,Whom did Jesus heal of a high fever?,John's mother,The synagogue official's wife,Herod's servant,Simon's mother-in-law,D,Luke 4:38–39
23,Luke 3–4,Why did Jesus say He must preach the kingdom of God in other cities?,Because Nazareth had rejected Him,Because He was sent for this purpose,Because the disciples requested it,Because Rome ordered Him to leave,B,Luke 4:42–44
24,Luke 5–6,What happened after Simon obeyed Jesus and let down the nets?,The nets came up empty,A great number of fish were caught,The boat immediately reached shore,A storm arose,B,Luke 5:4–7
24,Luke 5–6,How did Simon Peter respond to the miraculous catch?,He asked for another miracle,He offered Jesus the fish,He called the crowd to celebrate,He said he was a sinful man and asked Jesus to depart,D,Luke 5:8–10
24,Luke 5–6,What did the friends of the paralyzed man do when they could not enter the house?,They lowered him through the roof,They waited outside until evening,They asked a Pharisee to help,They carried him back home,A,Luke 5:17–20
24,Luke 5–6,Why did Jesus say He ate with tax collectors and sinners?,They had invited Him first,They supported His ministry financially,He came to call sinners to repentance,He wanted to challenge Rome,C,Luke 5:27–32
24,Luke 5–6,What did Jesus say about putting new wine into old wineskins?,It improves the flavor,The new wine will burst the old skins,Only priests may do it,The old skins make the wine holy,B,Luke 5:36–39
24,Luke 5–6,What did Jesus declare about the Sabbath?,The Son of Man is Lord of the Sabbath,The Sabbath no longer matters,Only priests may work on the Sabbath,Healing is never permitted on the Sabbath,A,Luke 6:1–5
24,Luke 5–6,What did Jesus do before choosing the twelve apostles?,He asked the Pharisees for advice,He cast lots in the temple,He traveled to Bethlehem,He spent the night in prayer to God,D,Luke 6:12–16
24,Luke 5–6,According to Jesus who are blessed?,Those who are rich now,Those whom everyone praises,Those who are poor and hunger now,Those who avoid all sorrow,C,Luke 6:20–23
24,Luke 5–6,How did Jesus command His followers to treat their enemies?,Love them and do good to those who hate them,Avoid them completely,Publicly shame them,Wait for them to apologize,A,Luke 6:27–36
24,Luke 5–6,Who is like a man building a house on rock?,The one who hears Jesus but delays obedience,The one who hears Jesus' words and acts on them,The one who possesses great wealth,The one who never faces a flood,B,Luke 6:46–49
25,Luke 7–8,Whose faith caused Jesus to marvel?,A synagogue ruler's faith,A widow's faith,A Roman centurion's faith,A Pharisee's faith,C,Luke 7:2–10
25,Luke 7–8,What did Jesus do for the widow at Nain?,He raised her only son from the dead,He gave her money,He healed her blindness,He sent her to the priests,A,Luke 7:11–17
25,Luke 7–8,What answer did Jesus send to John the Baptist?,Rome would soon be defeated,John should appoint a successor,The kingdom had been postponed,The blind see the lame walk and the poor hear the gospel,D,Luke 7:18–23
25,Luke 7–8,Why did the sinful woman love Jesus much?,She had seen many miracles,She had been forgiven much,She had known Him since childhood,She expected a place of honor,B,Luke 7:36–50
25,Luke 7–8,In the parable of the sower what does the seed represent?,The word of God,Faithful disciples,The nation of Israel,Material blessing,A,Luke 8:4–15
25,Luke 7–8,What did Jesus ask after calming the storm?,Why did you awaken Me?,Where are the crowds?,Where is your faith?,Who forgot the food?,C,Luke 8:22–25
25,Luke 7–8,What name did the demons give when Jesus asked?,Beelzebul,Legion,Abaddon,Caesar,B,Luke 8:26–33
25,Luke 7–8,What did Jesus tell the healed man from the Gerasenes to do?,Join the twelve apostles,Remain silent about the miracle,Go live in Jerusalem,Return home and describe what God had done,D,Luke 8:38–39
25,Luke 7–8,Who touched Jesus' garment and was healed?,A woman suffering from a hemorrhage for twelve years,Jairus' daughter,A blind woman from Jericho,Mary Magdalene,A,Luke 8:43–48
25,Luke 7–8,What did Jesus say to Jairus after news came that his daughter had died?,Call the mourners,Do not be afraid any longer; only believe,Return to the synagogue,Your faith was too late,B,Luke 8:49–56
26,Luke 9,What authority did Jesus give the twelve?,Authority to collect taxes,Authority to judge Israel immediately,Authority over demons and to heal diseases,Authority to command Roman soldiers,C,Luke 9:1–6
26,Luke 9,How many baskets of leftovers were gathered after Jesus fed the five thousand?,Five,Seven,Twelve,Forty,C,Luke 9:12–17
26,Luke 9,Who did Peter say Jesus was?,The Christ of God,John the Baptist returned,Elijah only,A political king,A,Luke 9:18–20
26,Luke 9,What must anyone who wishes to follow Jesus do?,Keep every possession,Gain approval from others,Wait until life becomes easier,Deny himself take up his cross daily and follow Him,D,Luke 9:23–26
26,Luke 9,Who appeared with Jesus at the Transfiguration?,Abraham and David,Moses and Elijah,Peter and John,Isaiah and Jeremiah,B,Luke 9:28–36
26,Luke 9,What did the voice from the cloud command?,Build three tabernacles,Return to Jerusalem immediately,Listen to God's chosen Son,Keep the vision secret forever,C,Luke 9:34–35
26,Luke 9,Why could the disciples not cast the demon out of the boy?,They had been unable to heal him,The father had refused to believe,Jesus had forbidden them,The boy was not an Israelite,A,Luke 9:37–43
26,Luke 9,What did the disciples argue about?,Who had forgotten the bread,Which of them was greatest,Who would betray Jesus,Where they would spend the night,B,Luke 9:46–48
26,Luke 9,What did Jesus do when a Samaritan village would not receive Him?,He rebuked the village,He called down fire,He turned toward Galilee,He rebuked the disciples and went to another village,D,Luke 9:51–56
26,Luke 9,What did Jesus say to the person who wanted first to say goodbye at home?,No one who looks back after putting his hand to the plow is fit for God's kingdom,Family duties always come before discipleship,He should return the following year,He must first sell his house,A,Luke 9:61–62
27,Luke 10–12,How many did Jesus send ahead in pairs?,Twelve,Seventy,One hundred twenty,Five hundred,B,Luke 10:1–3
27,Luke 10–12,In the parable who proved to be a neighbor to the wounded man?,The priest,The Levite,The innkeeper,The Samaritan who showed mercy,D,Luke 10:30–37
27,Luke 10–12,What did Jesus say Mary had chosen?,The good part of listening at His feet,To avoid serving others,To prepare the meal alone,To leave Bethany,A,Luke 10:38–42
27,Luke 10–12,What did Jesus teach His disciples to ask for daily?,Long life,Political freedom,Their daily bread,A sign from heaven,C,Luke 11:1–4
27,Luke 10–12,What sign did Jesus say would be given to that generation?,The sign of Moses,The sign of Jonah,The sign of David,The sign of Elijah,B,Luke 11:29–32
27,Luke 10–12,What hypocrisy of the Pharisees did Jesus warn against?,Their leaven,Their clothing,Their fasting,Their knowledge,A,Luke 12:1–3
27,Luke 10–12,Whom did Jesus say people should fear?,Those who can kill the body,The Roman governor,The crowds,The One who has authority to cast into hell,D,Luke 12:4–5
27,Luke 10–12,Why was the rich man in Jesus' parable called a fool?,He refused to plant crops,He stored treasure for himself but was not rich toward God,He gave too much away,He lost his inheritance,B,Luke 12:13–21
27,Luke 10–12,What did Jesus tell His disciples to seek?,Signs and wonders,Food and clothing first,God's kingdom,Positions of authority,C,Luke 12:22–34
27,Luke 10–12,What is required from someone who has been entrusted with much?,Much will be required,Nothing further will be expected,Only public worship,Immediate perfection,A,Luke 12:47–48
28,Luke 13–15,What did Jesus say people must do or they would likewise perish?,Make a pilgrimage to Jerusalem,Repent,Offer a sacrifice,Become disciples of John,B,Luke 13:1–5
28,Luke 13–15,Why was the synagogue official indignant when Jesus healed the bent-over woman?,She was a Gentile,She had not asked permission,Jesus had touched her,Jesus healed on the Sabbath,D,Luke 13:10–17
28,Luke 13–15,To what did Jesus compare the kingdom of God?,A mustard seed and leaven,A palace and throne,A sword and shield,A river and mountain,A,Luke 13:18–21
28,Luke 13–15,What did Jesus say about the door to salvation?,It would always remain open,It was reserved for the wealthy,People should strive to enter through the narrow door,Israel entered automatically,C,Luke 13:22–30
28,Luke 13–15,What did Jesus say a person should do when invited to a wedding feast?,Choose the place of honor,Sit in the last place,Wait outside until summoned,Bring an expensive gift,B,Luke 14:7–11
28,Luke 13–15,What must a prospective disciple first do according to Jesus' tower illustration?,Count the cost,Ask the crowd's approval,Prove his ancestry,Travel to Jerusalem,A,Luke 14:25–33
28,Luke 13–15,What does the shepherd do when one sheep is lost?,Wait for it to return,Replace it with another,Send a hired hand,Search until he finds it,D,Luke 15:3–7
28,Luke 13–15,What happens in heaven over one sinner who repents?,Silence until judgment,Joy in the presence of God's angels,A new command is given,The righteous lose their reward,B,Luke 15:8–10
28,Luke 13–15,What did the younger son decide to say when he came to his senses?,Give me another inheritance,I was treated unfairly,Father I have sinned against heaven and in your sight,Let me return as your son,C,Luke 15:11–21
28,Luke 13–15,Why did the father celebrate the younger son's return?,His son was dead and had come to life and was lost and had been found,His son returned with money,His older son requested a feast,His servants completed the harvest,A,Luke 15:22–24
29,Luke 16–19,What lesson did Jesus draw from the unrighteous manager?,Dishonesty is always rewarded,Use worldly wealth to make friends with eternal purposes,Riches guarantee salvation,Managers should never be dismissed,B,Luke 16:1–13
29,Luke 16–19,What separated the rich man from Lazarus after death?,A locked gate,A river of fire,An angelic army,A great chasm,D,Luke 16:19–31
29,Luke 16–19,What should a servant say after doing everything commanded?,We are unworthy slaves; we have done only what we ought to have done,We deserve a reward,Our work is greater than our master's,We are now free from obedience,A,Luke 17:7–10
29,Luke 16–19,How many of the ten healed lepers returned to thank Jesus?,Ten,Three,One,None,C,Luke 17:11–19
29,Luke 16–19,How did the tax collector pray in Jesus' parable?,Reward me for my obedience,God be merciful to me the sinner,Judge the Pharisee beside me,Give me greater wealth,B,Luke 18:9–14
29,Luke 16–19,What did Jesus tell the rich ruler he still lacked?,Sell all he possessed distribute it to the poor and follow Jesus,Offer a larger sacrifice,Become a Pharisee,Travel to Rome,A,Luke 18:18–23
29,Luke 16–19,What did the blind man near Jericho call Jesus?,Teacher from Nazareth,Son of Joseph,Prophet of Galilee,Son of David,D,Luke 18:35–43
29,Luke 16–19,What did Zaccheus promise to do if he had defrauded anyone?,Apologize privately,Repay twice as much,Repay four times as much,Leave Jericho,C,Luke 19:1–10
29,Luke 16–19,Why did Jesus say the Son of Man came?,To seek and to save that which was lost,To establish an earthly army,To condemn every tax collector,To remain in Jerusalem,A,Luke 19:10
29,Luke 16–19,What did Jesus say would happen if His disciples became silent during the triumphal entry?,The celebration would end,The stones would cry out,Angels would descend,Rome would arrest everyone,B,Luke 19:28–40
30,Luke 20–24,What did Jesus ask about John's baptism when leaders questioned His authority?,Whether John was Elijah,Why John lived in the wilderness,Whether it was from heaven or from men,Why John baptized in water,C,Luke 20:1–8
30,Luke 20–24,In the parable of the vineyard what did the tenants do to the owner's beloved son?,They killed him and threw him out of the vineyard,They made him their ruler,They paid him the harvest,They sent him safely home,A,Luke 20:9–16
30,Luke 20–24,What did Jesus say should be rendered to God?,Only temple taxes,What belongs to God,Whatever Caesar rejects,The Roman coin,B,Luke 20:20–26
30,Luke 20–24,What did Jesus say would happen before the end?,The temple would become a palace,Israel would never face persecution,All nations would immediately believe,His followers would be persecuted and given opportunities to testify,D,Luke 21:5–19
30,Luke 20–24,What did Jesus say the cup at the Last Supper represented?,The new covenant in His blood,Israel's victory over Rome,The disciples' authority,The end of suffering,A,Luke 22:14–20
30,Luke 20–24,What did Jesus pray on the Mount of Olives?,That the disciples would escape Jerusalem,That Judas would change his mind,That the Father's will be done,That angels would destroy His enemies,C,Luke 22:39–46
30,Luke 20–24,What did Peter do after the rooster crowed and Jesus looked at him?,He defended Jesus,He went out and wept bitterly,He confronted Judas,He returned to fishing,B,Luke 22:54–62
30,Luke 20–24,What did the criminal beside Jesus ask?,For freedom from the cross,For revenge on Rome,For a sign from heaven,For Jesus to remember him when He came into His kingdom,D,Luke 23:39–43
30,Luke 20–24,What did the women find when they came to the tomb?,The stone rolled away and Jesus' body absent,The tomb sealed by soldiers,The disciples waiting inside,Joseph of Arimathea guarding the entrance,A,Luke 24:1–8
30,Luke 20–24,What did the risen Jesus say must be proclaimed to all nations?,Israel's political restoration,A new calendar of feasts,Repentance for forgiveness of sins in His name,The rebuilding of the temple,C,Luke 24:44–49
